,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AMZN,BA,DIS,IBM,KO,MSFT,AMZN,BA,DIS,IBM,KO,MSFT,AMZN,BA,DIS,IBM,KO,MSFT,AMZN,BA,DIS,IBM,KO,MSFT,AMZN,BA,DIS,IBM,KO,MSFT,AMZN,BA,DIS,IBM,KO,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,134.52000427246094,42.18011474609375,28.09071159362793,84.34873962402344,19.632373809814453,23.541961669921875,134.52000427246094,54.130001068115234,32.25,125.14340209960938,28.5,30.479999542236328,137.27999877929688,55.220001220703125,32.75,127.00764465332031,28.875,30.989999771118164,134.52000427246094,54.04999923706055,32.220001220703125,125.0,28.46500015258789,30.479999542236328,137.08999633789062,55.0,32.27000045776367,126.58699798583984,28.790000915527344,30.979999542236328,4523000,2189400,19651700,4417676,10848800,31929700
2010-01-04,133.89999389648438,43.777557373046875,27.933921813964844,85.34751892089844,19.646146774291992,23.904979705810547,133.89999389648438,56.18000030517578,32.06999969482422,126.62523651123047,28.520000457763672,30.950000762939453,136.61000061035156,56.38999938964844,32.75,127.12236785888672,28.610000610351562,31.100000381469727,133.13999938964844,54.79999923706055,31.8700008392334,125.0956039428711,28.450000762939453,30.59000015258789,136.25,55.720001220703125,32.5,125.41108703613281,28.579999923706055,30.6200008392334,7599900,6186700,13700400,6438444,13870400,38409100
2010-01-05,134.69000244140625,45.21133804321289,27.864240646362305,84.3165283203125,19.408496856689453,23.912704467773438,134.69000244140625,58.02000045776367,31.989999771118164,125.0956039428711,28.174999237060547,30.959999084472656,135.47999572753906,58.279998779296875,32.15999984741211,126.05162811279297,28.4950008392334,31.100000381469727,131.80999755859375,56.0,31.700000762939453,124.37858581542969,28.06999969482422,30.639999389648438,133.42999267578125,56.25,32.06999969482422,125.88909912109375,28.424999237060547,30.850000381469727,8851900,8867800,10307700,7156104,23172400,49749600
2010-01-06,132.25,46.58279800415039,27.716161727905273,83.76879119873047,19.401613235473633,23.765958786010742,132.25,59.779998779296875,31.81999969482422,124.2829818725586,28.165000915527344,30.770000457763672,134.72999572753906,59.9900016784668,32.0,125.70745849609375,28.219999313354492,31.079999923706055,131.64999389648438,57.880001068115234,31.68000030517578,124.1013412475586,27.989999771118164,30.520000457763672,134.60000610351562,58.22999954223633,31.899999618530273,124.93307495117188,28.174999237060547,30.8799991607666,7178800,8836500,10709500,5863144,19264600,58182400
2010-01-07,130.0,48.46855926513672,27.724872589111328,83.47882080078125,19.353391647338867,23.518796920776367,130.0,62.20000076293945,31.829999923706055,123.85277557373047,28.094999313354492,30.450000762939453,132.32000732421875,62.310001373291016,31.860000610351562,124.52198791503906,28.184999465942383,30.700000762939453,128.8000030517578,59.02000045776367,31.540000915527344,123.24092102050781,27.875,30.190000534057617,132.00999450683594,59.5099983215332,31.770000457763672,124.15869903564453,28.165000915527344,30.6299991607666,11030200,14379100,8202100,6109268,13234600,50559700
2010-01-08,133.52000427246094,48.00101089477539,27.7684268951416,84.3165283203125,18.995187759399414,23.680994033813477,133.52000427246094,61.599998474121094,31.8799991607666,125.0956039428711,27.575000762939453,30.65999984741211,133.67999267578125,61.779998779296875,31.940000534057617,125.16252136230469,27.81999969482422,30.8799991607666,129.02999877929688,60.86000061035156,31.530000686645508,123.37476348876953,27.375,30.239999771118164,130.55999755859375,61.540000915527344,31.65999984741211,123.39388275146484,27.729999542236328,30.280000686645508,9830500,7146600,7657500,4390271,28712400,51197400
2010-01-11,130.30999755859375,47.43217468261719,27.315486907958984,83.4336929321289,19.38094711303711,23.379776000976562,130.30999755859375,60.869998931884766,31.360000610351562,123.78585052490234,28.135000228881836,30.270000457763672,132.8000030517578,62.09000015258789,31.739999771118164,125.2963638305664,28.225000381469727,30.760000228881836,129.2100067138672,60.5099983215332,31.09000015258789,123.011474609375,27.399999618530273,30.1200008392334,132.6199951171875,61.95000076293945,31.530000686645508,125.2963638305664,27.575000762939453,30.709999084472656,8779400,5624900,11250500,5993998,28642400,68754700
2010-01-12,127.3499984741211,47.089324951171875,26.845136642456055,84.097412109375,19.591045379638672,23.22529411315918,127.3499984741211,60.43000030517578,30.81999969482422,124.77055358886719,28.440000534057617,30.06999969482422,129.82000732421875,61.20000076293945,31.1200008392334,125.55449676513672,28.5,30.399999618530273,126.55000305175781,59.90999984741211,30.68000030517578,123.32695770263672,28.030000686645508,29.90999984741211,128.99000549316406,60.06999969482422,31.020000457763672,123.35564422607422,28.045000076293945,30.149999618530273,9096300,5273800,14618300,8453249,23269800,65912100
